Class;Weapon;Dual;2 Handed;leveled
Greataxes;Gargoyles's Great Axe;No;Yes;No
Greataxes;Gargoyles's Black Axe;No;Yes;No
Greataxes;Winged Greathorn;No;Yes;Yes
Greataxes;Axe of Godrick;No;Yes;Yes
Greataxes;Putrescence Cleaver;No;Yes;Yes
Greataxes;Death Knight's Longhaft Axe;No;Yes;Yes
Greataxes;Bonny Butchering Knife;No;Yes;Yes
Hammers;Spiked Club;No;No;Yes
Hammers;Club;No;No;Yes
Hammers;Curved Club;No;No;No
Hammers;Stone Club;No;No;Yes
Hammers;Mace;No;No;Yes
Hammers;Morning Star;No;No;Yes
Hammers;Hammer;No;No;Yes
Hammers;Warpick;No;No;Yes
Hammers;Varre's Bouquet;No;No;No
Hammers;Monk's Flamemace;No;No;Yes
Hammers;Envoy's Horn;No;No;Yes
Hammers;Nox Flowing Hammer;No;No;Yes
Hammers;Ringed Finger;No;No;Yes
Hammers;Scepter of the All-Knowing;No;No;Yes
Hammers;Marika's Hammer;No;No;Yes
Hammers;Flowerstone Gavel;No;No;Yes
Flails;Flail;No;No;No
Flails;Nightrider Flail;No;No;Yes
Flails;Chainlink Flail;No;No;Yes
Flails;Family Heads;No;No;Yes
Flails;Bastard's Stars;No;No;Yes
Flails;Serpent Flail;No;No;Yes
Great Hammers;Large Club;No;Yes;Yes
Great Hammers;Curved Great Club;No;Yes;Yes
Great Hammers;Great Mace;No;Yes;Yes
Great Hammers;Pickaxe;No;Yes;Yes
Great Hammers;Brick Hammer;No;Yes;Yes
Great Hammers;Battle Hammer;No;Yes;Yes
Great Hammers;Rotten Battle Hammer;No;Yes;Yes
Great Hammers;Celebrant's Skull;No;Yes;No
Great Hammers;Great Stars;No;Yes;Yes
Great Hammers;Greathorn Hammer;No;Yes;Yes
Great Hammers;Envoy's Long Horn;No;Yes;Yes
Great Hammers;Cranial Vessel Candlestand;No;Yes;Yes
Great Hammers;Beastclaw Greathammer;No;Yes;Yes
Great Hammers;Devourer's Scepter;No;Yes;Yes
Great Hammers;Black Steel Greathammer;No;Yes;Yes
Great Hammers;Smithscript Greathammer;No;Yes;Yes
Colossal Weapons;Duelist Greataxe;No;Yes;Yes
Colossal Weapons;Rotten Greataxe;No;Yes;Yes
Colossal Weapons;Golem's Halberd;No;Yes;Yes
Colossal Weapons;Giant-Crusher;No;Yes;Yes
Colossal Weapons;Prelate's Inferno Crozier;No;Yes;Yes
Colossal Weapons;Great Club;No;Yes;Yes
Colossal Weapons;Dragon Greatclaw;No;Yes;Yes
Colossal Weapons;Watchdog's Staff;No;Yes;Yes
Colossal Weapons;Troll's Hammer;No;Yes;Yes
Colossal Weapons;Staff of the Avatar;No;Yes;Yes
Colossal Weapons;Rotten Staff;No;Yes;Yes
Colossal Weapons;Envoy's Greathorn;No;Yes;Yes
Colossal Weapons;Ghiza's Wheel;No;Yes;Yes
Colossal Weapons;Fallingstar Beast Jaw;No;Yes;Yes
Colossal Weapons;Axe of Godfrey;No;Yes;Yes
Colossal Weapons;Bloodfiend's Arm;No;Yes;Yes
Colossal Weapons;Anvil Hammer;No;Yes;Yes
Colossal Weapons;Devonia's Hammer;No;Yes;Yes
Colossal Weapons;Shadow Sunflower Blossom;No;Yes;Yes
Colossal Weapons;Gazing Finger;No;Yes;Yes
Spears;Spear;No;Yes;Yes
Spears;Partisan;No;Yes;Yes
Spears;Spiked Spear;No;Yes;Yes
Spears;Cross-Naginata;Yes;No;Yes
Spears;Clayman's Harpoon;No;Yes;Yes
Spears;Inquisitor's Girandole;No;Yes;Yes
Spears;Crystal Spear;No;Yes;Yes
Spears;Rotten Crystal Spear;No;Yes;Yes
Spears;Cleanrot Spear;No;Yes;Yes
Spears;Death Ritual Spear;No;Yes;Yes
Spears;Bolt of Gransax;No;Yes;Yes
Spears;Short Spear;No;Yes;Yes
Spears;Iron Spear;No;Yes;No
Spears;Pike;No;Yes;Yes
Spears;Celebrant's Rib-Rake;No;Yes;No
Spears;Torchpole;No;Yes;No
Spears;Smithscript Spear;No;Yes;Yes
Spears;Swift Spear;No;Yes;Yes
Spears;Bloodfiend's Fork;No;Yes;Yes
Great Spears;Lance;No;Yes;Yes
Great Spears;Treespear;No;Yes;Yes
Great Spears;Siluria's Tree;No;Yes;Yes
Great Spears;Vyke's War Spear;No;Yes;Yes
Great Spears;Mohgwyn's Sacred Spear;No;Yes;Yes
Great Spears;Bloodfiend's Sacred Spear;No;Yes;No
Great Spears;Serpent-Hunter;No;Yes;No
Great Spears;Messmer Soldier's Spear;No;Yes;Yes
Great Spears;Spear of the Impaler;No;Yes;Yes
Great Spears;Barbed Staff-Spear;No;Yes;Yes
Halberds;Halberd;No;Yes;Yes
Halberds;Banished Knight's Halberd;No;Yes;Yes
Halberds;Lucerne;No;Yes;Yes
Halberds;Glaive;No;Yes;Yes
Halberds;Vulgar Militia Saw;No;Yes;Yes
Halberds;Guardian's Swordspear;No;Yes;Yes
Halberds;Nightrider Glaive;No;Yes;Yes
Halberds;Ripple Crescent Halberd;No;Yes;Yes
Halberds;Golden Halberd;No;Yes;Yes
Halberds;Dragon Halberd;No;Yes;Yes
Halberds;Loretta's War Sickle;No;Yes;Yes
Halberds;Commander's Standard;No;Yes;Yes
Halberds;Vulgar Militia Shotel;No;Yes;No
Halberds;Pest's Glaive;No;Yes;No
Halberds;Gargoyles's Halberd;No;Yes;Yes
Halberds;Gargoyle's Black Halberd;No;Yes;No
Halberds;Spirit Glaive;No;Yes;Yes
Halberds;Poleblade of the Bud;No;Yes;Yes
Reapers;Scythe;No;Yes;Yes
Reapers;Grave Scythe;No;Yes;Yes
Reapers;Halo Scythe;No;Yes;Yes
Reapers;Winged Scythe;No;Yes;Yes
Reapers;Obsidian Lamina;No;Yes;Yes
Whips;Thorned Whip;No;No;Yes
Whips;Urumi;No;No;Yes
Whips;Hoslow's Petal Whip;No;No;Yes
Whips;Magma Whip Candlestick;No;No;Yes
Whips;Giant's Red Braid;No;No;Yes
Whips;Whip;No;No;No
Whips;Tooth Whip;No;No;Yes
Fists;Caestus;Yes;No;No
Fists;Spiked Caestus;Yes;No;Yes
Fists;Katar;Yes;No;Yes
Fists;Iron Ball;Yes;No;Yes
Fists;Star Fist;Yes;No;Yes
Fists;Clinging Bone;Yes;No;Yes
Fists;Veteran's Prosthesis;Yes;No;Yes
Fists;Cipher Pata;Yes;No;Yes
Fists;Grafted Dragon;No;No;Yes
Fists;Pata;Yes;No;Yes
Fists;Golem Fist;Yes;No;Yes
Fists;Thiollier's Hidden Needle;Yes;No;Yes
Fists;Poisned Hand;Yes;No;Yes
Fists;Madding Hand;Yes;No;Yes
Hand-to-Hand Arts;Dryleaf Arts;Yes;No;Yes
Hand-to-Hand Arts;Dane's Footwork;Yes;No;Yes
Claws;Hookclaws;Yes;No;Yes
Claws;Bloodhound Claws;Yes;No;Yes
Claws;Venomous Fang;Yes;No;Yes
Claws;Raptor Talons;Yes;No;Yes
Claws;Claws of Night;Yes;No;Yes
Beast Claws;Beast Claw;Yes;No;Yes
Beast Claws;Red Bear's Claw;Yes;No;Yes
Perfume Bottles;Chilling Perfume Bottle;Yes;No;Yes
Perfume Bottles;Firespark Perfume Bottle;Yes;No;No
Perfume Bottles;Lightning Perfume Bottle;Yes;No;No
Perfume Bottles;Frenzyflame Perfume Bottle;Yes;No;Yes
Perfume Bottles;Deadly Poison Perfume Bottle;Yes;No;Yes
Thrusting Shields;Dueling Shield;Yes;Yes;Yes
Thrusting Shields;Carian Thrusting Shield;Yes;Yes;Yes
Light Bows;Bone Bow;No;No;Yes
Light Bows;Shortbow;No;No;No
Light Bows;Composite Bow;No;No;Yes
Light Bows;Red Branch Shortbow;No;No;No
Light Bows;Misbegotten Shortbow;No;No;No
Light Bows;Harp Bow;No;No;No
Bows;Ansbach's Longbow;No;No;Yes
Bows;Albinauric Bow;No;No;Yes
Bows;Black Bow;No;No;No
Bows;Pulley Bow;No;No;No
Bows;Horn Bow;No;No;Yes
Bows;Serpent Bow;No;No;No
Bows;Erdtree Bow;No;No;No
Bows;Longbow;No;No;No
Greatbows;Erdtree Greatbow;No;No;No
Greatbows;Golem Greatbow;No;No;Yes
Greatbows;Greatbow;No;No;No
Greatbows;Igon's Greatbow;No;No;Yes
Greatbows;Lion Greatbow;No;No;Yes
Crossbows;Repeating Crossbow;No;No;Yes
Crossbows;Spread Crossbow;No;No;No
Crossbows;Soldier's Crossbow;No;No;No
Crossbows;Light Crossbow;No;No;No
Crossbows;Heavy Crossbow;No;No;No
Crossbows;Arbalest;No;No;No
Crossbows;Crepus's Black-Key Crossbow;No;No;Yes
Crossbows;Pulley Crossbow;No;No;Yes
Crossbows;Full Moon Crossbow;No;No;No
Ballistas;Hand Ballista;No;No;No
Ballistas;Jar Cannon;No;No;No
Ballistas;Rabbath's Cannon;No;No;Yes
Small Shields;Coil Shield;No;No;Yes
Small Shields;Smithscript Shield;No;No;Yes
Small Shields;Rickety Shield;No;No;No
Small Shields;Riveted Wooden Shield;No;No;No
Small Shields;Blue-White Wooden Shield;No;No;No
Small Shields;Scripture Wooden Shield;No;No;No
Small Shields;Red Thorn Roundshield;No;No;No
Small Shields;Pillory Shield;No;No;No
Small Shields;Buckler;No;No;No
Small Shields;Iron Roundshield;No;No;No
Small Shields;Gilded Iron Shield;No;No;No
Small Shields;Man-Serpent's Shield;No;No;No
Small Shields;Ice Crest Shield;No;No;No
Small Shields;Rift Shield;No;No;No
Small Shields;Perfumer's Shield;No;No;No
Small Shields;Shield of the Guilty;No;No;No
Small Shields;Spiralhorn Shield;No;No;No
Small Shields;Smoldering Shield;No;No;No
Small Shields;Shield of Night;No;No;Yes
Medium Shields;Hawk Crest Wooden shield;No;No;No
Medium Shields;Horse Crest Wooden Shield;No;No;No
Medium Shields;Candletree Wooden Shield;No;No;No
Medium Shields;Flame Crest Wooden Shield;No;No;No
Medium Shields;Marred Wooden Shield;No;No;No
Medium Shields;Sun Realm Shield;No;No;No
Medium Shields;Round Shield;No;No;No
Medium Shields;Large Leather Shield;No;No;No
Medium Shields;Black Leather Shield;No;No;No
Medium Shields;Marred Leather Shield;No;No;No
Medium Shields;Heater Shield;No;No;No
Medium Shields;Blue Crest Heater Shield;No;No;No
Medium Shields;Red Crest Heater Shield;No;No;No
Medium Shields;Beast Crest Heater Shield;No;No;No
Medium Shields;Inverted Hawk Heater Shield;No;No;No
Medium Shields;Eclipse Crest Heater Shield;No;No;No
Medium Shields;Kite Shield;No;No;No
Medium Shields;Blue-Gold Kite Shield;No;No;No
Medium Shields;Scorpion Kite Shield;No;No;No
Medium Shields;Twinbird Kite Shield;No;No;No
Medium Shields;Messmer Soldier Shield;No;No;No
Medium Shields;Wolf Crest Shield;No;No;No
Medium Shields;Serpent Crest Shield;No;No;Yes
Medium Shields;Albinauric Shield;No;No;No
Medium Shields;Beastman's Jar-Shield;No;No;No
Medium Shields;Carian Knight's Shield;No;No;No
Medium Shields;Great Turtle Shell;No;No;No
Medium Shields;Golden Lion Shield;No;No;Yes
Medium Shields;Brass Shield;No;No;Yes
Medium Shields;Banished Knight's Shield;No;No;Yes
Medium Shields;Silver Mirrorshield;No;No;Yes
Greatshields;Fingerprint Stone Shield;No;No;Yes
Greatshields;Erdtree Greatshield;No;No;Yes
Greatshields;Wooden Greatshield;No;No;No
Greatshields;Lordsworn's Shield;No;No;No
Greatshields;Briar Greatshield;No;No;No
Greatshields;Spiked Palisade Shield;No;No;Yes
Greatshields;Icon Shield;No;No;No
Greatshields;Golden Beast Crest Shield;No;No;No
Greatshields;Manor Towershield;No;No;No
Greatshields;Crossed-Tree Towershield;No;No;No
Greatshields;Inverted Hawk Towershield;No;No;No
Greatshields;Dragon Towershield;No;No;No
Greatshields;Distinguished Greatshield;No;No;No
Greatshields;Gilded Greatshield;No;No;No
Greatshields;Cuckoo Greatshield;No;No;No
Greatshields;Redmane Greatshield;No;No;No
Greatshields;Golden Greatshield;No;No;No
Greatshields;Haligtree Crest Greatshield;No;No;Yes
Greatshields;Black Steel Greatshield;No;No;No
Greatshields;Crucible Hornshield;No;No;No
Greatshields;Dragonclaw Shield;No;No;No
Greatshields;Eclipse Crest Greatshield;No;No;No
Greatshields;Ant's Skull Plate;No;No;No
Greatshields;Jellyfish Shield;No;No;No
Greatshields;Visage Shield;No;No;Yes
Greatshields;One-Eyed Shield;No;No;Yes
Greatshields;Verdigris Greatshield;No;No;Yes
