;Carian Knight's Sword;No;No;Straight Swords;;Banished Knight's Shield;;;;Cold;Glintstone Icecrag;1;;Briar;;;;;;;;;;
;Crystal Sword;No;No;Straight Swords;;Silver Mirrorshield;;;;;Freezing Mist;1;;Bull-Goat;;;;;;;;;;
;Rotten Crystal Sword;No;No;Straight Swords;Greatshields;Fingerprint Stone Shield;;;;;Frozen Armament;1;;Carian Knight;;;;;;;;;;
;Miquellan Knight's Sword;No;No;Straight Swords;;Erdtree Greatshield;;;;;Zamor Ice Storm;1;;Chain;;;;;;;;;;
;Golden Epitaph;No;No;Straight Swords;;;;;;Crystalian;Shattering Crystal;1;;Champion;;;;;;;;;;
;Sword of St.Trina;No;No;Straight Swords;;;;;;;Crystal Torrent;1;;Cleanrot;;;;;;;;;;
;Regalia of Eochaid;No;No;Straight Swords;;;;;;;Crystal Release;1;;Commoner;;;;;;;;;;
;Coded Sword;No;No;Straight Swords;;;;;;Death;Rancorcall;1;;Confessor;;;;;;;;;;
;Sword of Night and Flame;No;No;Straight Swords;;;;;;;Ancient Death Rancor;1;;Consort;;;;;;;;;;
;Velvet Sword of St.Trina;No;No;Straight Swords;;;;;;;Rings of Spectral Light;1;;Crucible Axe;Erdtree;;;;;;;;;
;Sword of Light;No;No;Straight Swords;;;;;;;Explosive Ghostflame;1;;Crucible Tree;Erdtree;;;;;;;;;
;Sword of Darkness;No;No;Straight Swords;;;;;;;Fia's Mist;1;;Cukoo Knight;;;;;;;;;;
Light Greatswords;Milady;No;Yes;Light Greatswords;;;;;;;Tibia's Summons;1;;Depraved Perfumer;;;;;;;;;;
;Leda's Sword;No;Yes;Light Greatswords;;;;;;;Mass of Putrescence;1;;Drake Knight;;;;;;;;;;
;Rellana's Twin Blades;Yes;No;Light Greatswords;;;;;;;Vortex of Putrescence;2;;Duelist;;;;;;;;;;
Greatswords;Bastard Sword;No;Yes;Greatswords;;;;;;Finger;Glintstone Nail;1;;Eccentric;;;;;;;;;;
;Claymore;No;Yes;Greatswords;;;;;;;Glintstone Nails;1;;Elden Lord;;;;;;;;;;
;Iron Greatsword;No;Yes;Greatswords;;;;;;;Fleeting Microcosm;1;;Errant Sorcerer;;;;;;;;;;
;Lordsworn's Greatsword;No;Yes;Greatswords;;;;;;;Cherishing Fingers;1;;Exile;;;;;;;;;;
;Knight's Greatsword;No;Yes;Greatswords;;;;;;Glintstone;Glintstone Pebble;1;;Festive;;;;;;;;;;
;Banished Knight's Greatsword;No;Yes;Greatswords;;;;;;;Swift Glintstone Shard;1;;Fia;;;;;;;;;;
;Flamberge;No;Yes;Greatswords;;;;;;;Great Glintstone Shard;1;;Finger Maiden;;;;;;;;;;
;Gargoyle's Greatsword;No;Yes;Greatswords;;;;;;;Glintstone Cometshard;1;;Fingerprint;;;;;;;;;;
;Gargoyle's Blackblade;No;Yes;Greatswords;;;;;;;Comet;1;;Fire Monk;;;;;;;;;;
;Inseparable Sword;No;Yes;Greatswords;;;;;;;Shard Spiral;1;;Fire Prelate;;;;;;;;;;
;Sword of Milos;No;Yes;Greatswords;;;;;;;Glintstone Stars;1;;Fur;;;;;;;;;;
;Marais Executioner's Sword;No;Yes;Greatswords;;;;;;;Star Shower;1;;Gelmir Knight;;;;;;;;;;
;Ordovis's Greatsword;No;Yes;Greatswords;;;;;;;Glintstone Arc;1;;General Radahn;;;;;;;;;;
;Alabaster Lord's Sword;No;Yes;Greatswords;;;;;;;Crystal Barrage;1;;Godrick Foot Soldier;;;;;;;;;;
;Death's Poker;No;Yes;Greatswords;;;;;;;Crystal Burst;1;;Godrick Knight;;;;;;;;;;
;Helphen's Steeple;No;Yes;Greatswords;;;;;;;Cannon of Haima;1;;Godrick Soldier;;;;;;;;;;
;Blasphemous Blade;No;Yes;Greatswords;;;;;;;Gavel of Haima;1;;Godskin Apostle;;;;;;;;;;
;Golden Order Greatsword;No;Yes;Greatswords;;;;;;;Shatter Earth;1;;Godskin Noble;Black Flame;;;;;;;;;
;Dark Moon Greatsword;No;Yes;Greatswords;;;;;;;Rock Blaster;1;;Goldmask;;;;;;;;;;
;Sacred Relic Sword;No;Yes;Greatswords;;;;;;;Scholar's Armament;1;;Guardian;;;;;;;;;;
;Greatsword of Damnation;No;Yes;Greatswords;;;;;;;Scholar's Shield;1;;Guilty;;;;;;;;;;
;Greatsword of Solitude;No;Yes;Greatswords;;;;;;;Starlight;1;;Haligtree Foot Soldier;;;;;;;;;;
Colossal Swords;Zweihander;No;Yes;Colossal Swords;;;;;;;Terra Magica;1;;Haligtree Knight;;;;;;;;;;
;Greatsword;No;Yes;Colossal Swords;;;;;;;Thops's Barrier;1;;Haligtree Soldier;;;;;;;;;;
;Watchdog's Greatsword;No;Yes;Colossal Swords;;;;;;;Comet Azur;3;;High Page;;;;;;;;;;
;Troll's Golden Sword;No;Yes;Colossal Swords;;;;;;;Stars of Ruin;1;;Highwayman;;;;;;;;;;
;Troll Knight's Sword;No;Yes;Colossal Swords;;;;;;;Founding Rain of Stars;2;;Hoslow;;;;;;;;;;
;Royal Greatsword;No;Yes;Colossal Swords;;;;;;Gravity;Gravity Well;1;;House Marais;;;;;;;;;;
;Grafted Blade Greatsword;No;Yes;Colossal Swords;;;;;;;Collapsing Stars;1;;Iron;;;;;;;;;;
;Ruins Greatsword;No;Yes;Colossal Swords;;;;;;;Gravitational Missile;1;;Juvenile Scholar;;;;;;;;;;
;Starscourge Greatsword;Yes;No;Colossal Swords;;;;;;;Rock Sling;1;;Kaiden;;;;;;;;;;
;Godslayer's Greatsword;No;Yes;Colossal Swords;;;;;;;Blades of Stone;2;;Knight;;;;;;;;;;
;Maliketh's Black Blade;No;Yes;Colossal Swords;;;;;;;Meteorite;1;;Land of Reeds;;;;;;;;;;
;Fire Knight's Greatsword;No;Yes;Colossal Swords;;;;;;;Meteorites of Astel;2;;Lazuli Sorcerer;;;;;;;;;;
;Ancient Meteoric Ore Greatsword;No;Yes;Colossal Swords;;;;;;Magma;Magma Shot;1;;Leather;;;;;;;;;;
;Moonrithyll's Knight Sword;No;Yes;Colossal Swords;;;;;;;Roiling Magma;1;;Leyndell Foot Soldier;;;;;;;;;;
;Greatsword of Radahn (Lord);Yes;No;Colossal Swords;;;;;;;Gelmir's Fury;1;;Leyndell Knight;;;;;;;;;;
;Greatsword of Radahn (Light);Yes;No;Colossal Swords;;;;;;;Rykard's Rancor;2;;Leyndell Soldier;;;;;;;;;;
Thrusting Swords;Rapier;No;No;Thrusting Swords;;;;;;Night;Ambush Shard;1;;Lionel;;;;;;;;;;
;Estoc;No;No;Thrusting Swords;;;;;;;Night Shard;1;;Lusat;Glintstone;;;;;;;;;
;Noble's Estoc;No;No;Thrusting Swords;;;;;;;Night Comet;1;;Malenia;;;;;;;;;;
;Cleanrot Knight's Sword;No;No;Thrusting Swords;;;;;;;Night Maiden's Mist;1;;Malformed Dragon;;;;;;;;;;
;Rogier's Rapier;No;No;Thrusting Swords;;;;;;;Unseen Blade;1;;Maliketh;;;;;;;;;;
;Antspur Rapier;Yes;No;Thrusting Swords;;;;;;;Unseen Form;1;;Marionette Soldier;;;;;;;;;;
;Frozen Needle;No;No;Thrusting Swords;;;;;;;Eternal Darkness;1;;Mausoleum Foot Soldier;;;;;;;;;;
;Carian Sorcery Sword;No;No;Thrusting Swords;;;;;;Oracle;Oracle Bubbles;1;;Mausoleum Knight;;;;;;;;;;
Heavy Thrusting Swords;Great Epee;No;Yes;Heavy Thrusting Swords;;;;;;;Great Oracular Bubble;1;;Mausoleum Soldier;;;;;;;;;;
;Godskin Stitcher;No;Yes;Heavy Thrusting Swords;;;;;;Thorn;Briars of Sin;1;;Mushroom;Servants of Rot;;;;;;;;;
;Bloody Helice;No;Yes;Heavy Thrusting Swords;;;;;;;Briars of Punishment;1;;Night Maiden;;;;;;;;;;
;Dragon King's Cragblade;No;Yes;Heavy Thrusting Swords;;;;;;;Mantle of Thorns;1;;Night's Cavalry;;;;;;;;;;
;Sword Lance;No;Yes;Heavy Thrusting Swords;;;;;;;Impenetrable Thorns;1;;Noble;;;;;;;;;;
;Queelign's Greatsword;No;Yes;Heavy Thrusting Swords;;;;;Incantations;Bestial;Beast Claw;1;;Nomadic Merchant;;;;;;;;;;
Curved Swords;Scimitar;No;No;Curved Swords;;;;;;;Gurranq's Beast Claw;1;;Nox Monk;;;;;;;;;;
;Falchion;No;No;Curved Swords;;;;;;;Bestial Sling;1;;Nox Swodstress;;;;;;;;;;
;Shamshir;No;No;Curved Swords;;;;;;;Stone of Gurranq;1;;Old Aristocrat;;;;;;;;;;
;Grossmesser;No;No;Curved Swords;;;;;;;Bestial Constitution;1;;Omen;;;;;;;;;;
;Bandit's Curved Sword;No;No;Curved Swords;;;;;;;Bestial Vitality;1;;Omenkiller;;;;;;;;;;
;Scavenger's Curved Sword;Yes;No;Curved Swords;;;;;;Black Flame;Black Flame;1;;Page;;;;;;;;;;
;Beastman's Curved Sword;No;No;Curved Swords;;;;;;;Scouring Black Flame;1;;Perfumer;;;;;;;;;;
;Magma Blade;No;No;Curved Swords;;;;;;;Black Flame Ritual;1;;Perfumer Traveler;;;;;;;;;;
;Nox Flowing Sword;No;No;Curved Swords;;;;;;;Black Flame Blade;1;;Preceptor;;;;;;;;;;
;Wing of Astel;No;No;Curved Swords;;;;;;;Black Flame's Protection;1;;Prisoner;;;;;;;;;;
;Eclipse Shotel;No;No;Curved Swords;;;;;;;Noble Presence;1;;Prophet;;;;;;;;;;
;Spirit Sword;No;No;Curved Swords;;;;;;Blood;Swarm of Flies;1;;Queen of the Full Moon;;;;;;;;;;
;Falx;Yes;No;Curved Swords;;;;;;;Bloodflame Talons;1;;Radahn Foot Soldier;;;;;;;;;;
;Dancing Blade of Ranah;Yes;No;Curved Swords;;;;;;;Furious Blade of Ansbach;1;;Radahn Soldier;;;;;;;;;;
;Horned Warrior's Sword;Yes;No;Curved Swords;;;;;;;Bloodboon;1;;Raging Wolf;;;;;;;;;;
Curved Greatswords;Dismounter;No;Yes;Curved Greatswords;;;;;;;Bloodflame Blade;1;;Raptor;;;;;;;;;;
;Omen Cleaver;No;Yes;Curved Greatswords;;;;;;Dragon Communion;Dragonfire;1;;Raya Lucarian Foot Soldier;;;;;;;;;;
;Monk's Flameblade;No;Yes;Curved Greatswords;;;;;;;Agheel's Flame;1;;Raya Lucarian Soldier;;;;;;;;;;
;Beastman's Cleaver;No;Yes;Curved Greatswords;;;;;;;Magma Breath;1;;Raya Lucarian Sorcerer;;;;;;;;;;
;Bloodhound's Fang;No;Yes;Curved Greatswords;;;;;;;Theodorix's Magma;1;;Redmane Knight;;;;;;;;;;
;Onyx Lord's Greatsword;No;Yes;Curved Greatswords;;;;;;;Glintstone Breath;1;;Ronin;;;;;;;;;;
;Zamor Curved Sword;No;Yes;Curved Greatswords;;;;;;;Smarag's Glintstone Breath;1;;Rotten Duelist;;;;;;;;;;
;Magma Wyrm's Scalesword;No;Yes;Curved Greatswords;;;;;;;Rotten Breath;1;;Royal Knight;;;;;;;;;;
;Morgott's Curved Sword;No;Yes;Curved Greatswords;;;;;;;Ekzykes's Decay;1;;Royal Remains;;;;;;;;;;
;Horned Warrior's Greatsword;No;Yes;Curved Greatswords;;;;;;;Dragonice;1;;Ruler;;;;;;;;;;
;Freyja's Greatsword;No;Yes;Curved Greatswords;;;;;;;Borealis's Mist;1;;Sage;;;;;;;;;;
Backhand Blades;Backhand Blade;Yes;No;Backhand Blades;;;;;;;Ghostflame Breath;1;;Sanguine Noble;;;;;;;;;;
;Smithscript Cirque;Yes;No;Backhand Blades;;;;;;;Placifusax's ruin;3;;Scaled;;;;;;;;;;
;Curseblade's Cirque;Yes;No;Backhand Blades;;;;;;;Dragonclaw;1;;Shaman;;;;;;;;;;
Katanas;Uchigatana;No;Yes;Katanas;;;;;;;Dragonmaw;1;;Snow Witch;Cold;;;;;;;;;
;Nagakiba;No;Yes;Katanas;;;;;;;Greyoll's Roar;2;;Spellblade;;;;;;;;;;
;Serpentbone Blade;No;Yes;Katanas;;;;;;;Bayle's Tyranny;2;;Traveler;;;;;;;;;;
;Meteoric Ore Blade;No;Yes;Katanas;;;;;;;Bayle's Flame Lightning;2;;Travelin Maiden;;;;;;;;;;
;Moonveil;No;Yes;Katanas;;;;;;Dragon Cult;Lightning Spear;1;;Tree Sentinel;;;;;;;;;;
;Rivers of Blood;No;Yes;Katanas;;;;;;;Knight's Lightning Spear;1;;Twinned;;;;;;;;;;
;Dragonscale Blade;No;Yes;Katanas;;;;;;;Lightning Strike;1;;Vagabond Knight;;;;;;;;;;
;Hand of Malenia;No;Yes;Katanas;;;;;;;Honed Bolt;1;;Veteran;;;;;;;;;;
;Star-Lined Sword;No;Yes;Katanas;;;;;;;Ancient Dragons' Lightning Spear;1;;Vulgar Militia;;;;;;;;;;
;Sword of Night;No;Yes;Katanas;;;;;;;Ancient Dragons' Lightning Strike;1;;War Surgeon;Blood;;;;;;;;;
Great Katanas;Great Katana;No;Yes;Great Katanas;;;;;;;Lansseax's Glaive;1;;White Reed;;;;;;;;;;
;Dragon-Hunter's Great Katana;No;Yes;Great Katanas;;;;;;;Fortissax's Lightning Spear;1;;Zamor;;;;;;;;;;
;Rakshasa's Great Katana;No;Yes;Great Katanas;;;;;;;Frozen Lightning Spear;1;;Ansbach;;;;;;;;;;
Twinblades;Twinblade;No;Yes;Twinblades;;;;;;;Death Lightning;2;;Ascetic;;;;;;;;;;
;Twinned Knight Swords;No;Yes;Twinblades;;;;;;;Electrify Armament;1;;Black Knight;;;;;;;;;;
;Godskin Peeler;No;Yes;Twinblades;;;;;;;Electrocharge;1;;Common Soldier;;;;;;;;;;
;Gargoyle's Twinblade;No;Yes;Twinblades;;;;;;;Dragonbolt Blessing;1;;Dancer;;;;;;;;;;
;Eleonora's Poleblade;No;Yes;Twinblades;;;;;;;Vyke's Dragonbolt;1;;Dane;;;;;;;;;;
;Black Steel Twinblade;No;Yes;Twinblades;;;;;;;Dragonbolt of Florissax;1;;Death Knight;Dragon Cult;;;;;;;;;
;Euporia;No;Yes;Twinblades;;;;;;Erdtree;Golden Vow;1;;Divine Beast;Spiral;;;;;;;;;
Axes;Battle Axe;No;No;Axes;;;;;;;Barrier of Gold;1;;Divine Bird;Spiral;;;;;;;;;
;Warped Axe;No;No;Axes;;;;;;;Golden Lightning Fortification;1;;Fire Knight;Messmer's Flame;;;;;;;;;
;Iron Cleaver;No;No;Axes;;;;;;;Protection of the Erdtree;1;;Freyja;;;;;;;;;;
;Highland Axe;No;No;Axes;;;;;;;Wrath of Gold;1;;Gaius;;;;;;;;;;
;Icerind Hatchet;No;No;Axes;;;;;;;Warth from Afar;1;;Gravebird;Death;;;;;;;;;
;Ripple Blade;No;No;Axes;;;;;;;Heal from Afar;1;;High Priest;;;;;;;;;;
;Stormhawk Axe;No;No;Axes;;;;;;;Erdtree Heal;1;;Horned Warrior;;;;;;;;;;
;Rosus' Axe;No;No;Axes;;;;;;;Blessing's Boon;1;;Hornsent;;;;;;;;;;
;Smithscript Axe;No;No;Axes;;;;;;;Blessing of the Erdtree;1;;Igon;;;;;;;;;;
;Messmer Soldier's Axe;No;No;Axes;;;;;;;Minor Erdtree;2;;Iron Rivet;Spiral;;;;;;;;;
;Death Knight's Twin Axes;Yes;No;Axes;;;;;;;Aspects of the Crucible : Breath;1;;Highland Warrior;;;;;;;;;;
Greataxes;Greataxe;No;Yes;Greataxes;;;;;;;Aspects of the Crucible :Tail;1;;Messmer Soldier;;;;;;;;;;
;Crescent Moon Axe;No;Yes;Greataxes;;;;;;;Aspects of the Crucible : Horns;1;;Messmer;Messmer's Flame;;;;;;;;;
;Longhaft Axe;No;Yes;Greataxes;;;;;;;Aspects of the Crucible : Thorns;1;;Night;;;;;;;;;;
;Executioner's Greataxe;No;Yes;Greataxes;;;;;;;Aspects of the Crucible : Bloom;1;;Oathkeeper Knight;;;;;;;;;;
;Great Omenkiller Cleaver;Yes;Yes;Greataxes;;;;;;;Land of Shadow;1;;Rakshasa;;;;;;;;;;
;Rusted Anchor;No;Yes;Greataxes;;;;;;;Elden Stars;2;;Rellana;;;;;;;;;;
;Butchering Knife;No;Yes;Greataxes;;;;;;;Black Blade;2;;Shadow Militiaman;;;;;;;;;;
;Winged Greathorn;No;Yes;Greataxes;;;;;;Frenzied Flame;The Flame of Frenzy;1;;Solitude;;;;;;;;;;
;Axe of Godrick;No;Yes;Greataxes;;;;;;;Unendurable Frenzy;1;;Thiollier;;;;;;;;;;
;Putrescence Cleaver;No;Yes;Greataxes;;;;;;;Midra's Flame of Frenzy;2;;Verdigris;;;;;;;;;;
;Death Knight's Longhaft Axe;No;Yes;Greataxes;;;;;;;Frenzied Burst;1;;Young Lion;;;;;;;;;;
;Bonny Butchering Knife;No;Yes;Greataxes;;;;;;;Howl of Shabriri;1;;;;;;;;;;;;
Hammers;Spiked Club;No;No;Hammers;;;;;;;Inescapable Frenzy;1;;;;;;;;;;;;
;Stone Club;No;No;Hammers;;;;;;Giant's Flame;Catch Flame;1;;;;;;;;;;;;
;Mace;No;No;Hammers;;;;;;;O, Flame!;1;;;;;;;;;;;;
;Morning Star;No;No;Hammers;;;;;;;Flame Sling;1;;;;;;;;;;;;
;Hammer;No;No;Hammers;;;;;;;Giantflame Take Thee;2;;;;;;;;;;;;
;Monk's Flamemace;No;No;Hammers;;;;;;;Flame, Fall Upon Them;1;;;;;;;;;;;;
;Envoy's Horn;No;No;Hammers;;;;;;;Flame of the Fell God;2;;;;;;;;;;;;
;Nox Flowing Hammer;No;No;Hammers;;;;;;;Surge, O Flame!;1;;;;;;;;;;;;
;Ringed Finger;No;No;Hammers;;;;;;;Whirl, O Flame!;1;;;;;;;;;;;;
;Scepter of the All-Knowing;No;No;Hammers;;;;;;;Burn, O Flame!;1;;;;;;;;;;;;
;Marika's Hammer;No;No;Hammers;;;;;;;Flame, Cleanse Me;1;;;;;;;;;;;;
;Flowerstone Gavel;No;No;Hammers;;;;;;;Flame, Protect Me;1;;;;;;;;;;;;
Flails;Nightrider Flail;No;No;Flails;;;;;;;Flame, Grant Me Strength;1;;;;;;;;;;;;
;Chainlink Flail;No;No;Flails;;;;;;;Fire's Deadly Sin;1;;;;;;;;;;;;
;Family Heads;No;No;Flails;;;;;;Golden Order;Discus of Light;1;;;;;;;;;;;;
;Bastard's Stars;No;No;Flails;;;;;;;Triple Rings of Light;1;;;;;;;;;;;;
;Serpent Flail;No;No;Flails;;;;;;;Radagon's Rings of Light;1;;;;;;;;;;;;
Great Hammers;Large Club;No;Yes;Great Hammers;;;;;;;Litany of Proper Death;1;;;;;;;;;;;;
;Great Mace;No;Yes;Great Hammers;;;;;;;Order Healing;1;;;;;;;;;;;;
;Pickaxe;No;Yes;Great Hammers;;;;;;;Order's Blade;1;;;;;;;;;;;;
;Brick Hammer;No;Yes;Great Hammers;;;;;;;Immutable Shield;1;;;;;;;;;;;;
;Battle Hammer;No;Yes;Great Hammers;;;;;;;Law of Causality;1;;;;;;;;;;;;
;Rotten Battle Hammer;No;Yes;Great Hammers;;;;;;;Law of Regression;1;;;;;;;;;;;;
;Great Stars;No;Yes;Great Hammers;;;;;;Messmer's Flame;Fire Serpent;1;;;;;;;;;;;;
;Greathorn Hammer;No;Yes;Great Hammers;;;;;;;Rain of Fire;1;;;;;;;;;;;;
;Envoy's Long Horn;No;Yes;Great Hammers;;;;;;;Messmer's Orb;2;;;;;;;;;;;;
;Cranial Vessel Candlestand;No;Yes;Great Hammers;;;;;;Miquellan;Multilayred ring of Light;1;;;;;;;;;;;;
;Beastclaw Hammer;No;Yes;Great Hammers;;;;;;;Light of Miquella;2;;;;;;;;;;;;
;Devourer's Scepter;No;Yes;Great Hammers;;;;;;Servants of Rot;Poison Mist;1;;;;;;;;;;;;
;Black Steel Greathammer;No;Yes;Great Hammers;;;;;;;Poison Armament;1;;;;;;;;;;;;
;Smithscript Greathammer;No;Yes;Great Hammers;;;;;;;Pest Threads;1;;;;;;;;;;;;
Colossal Weapons;Duelist Greataxe;No;Yes;Colossal Weapons;;;;;;;Pest-Thread Spears;1;;;;;;;;;;;;
;Rotten Greataxe;No;Yes;Colossal Weapons;;;;;;;Scarlet Aeonia;3;;;;;;;;;;;;
;Golem's Halberd;No;Yes;Colossal Weapons;;;;;;;Rotten Butterflies;1;;;;;;;;;;;;
;Giant-Crusher;No;Yes;Colossal Weapons;;;;;;Spiral;Golden Arcs;1;;;;;;;;;;;;
;Prelate's Inferno Crozier;No;Yes;Colossal Weapons;;;;;;;Giant Golden Arc;1;;;;;;;;;;;;
;Great Club;No;Yes;Colossal Weapons;;;;;;;Spira;2;;;;;;;;;;;;
;Dragon Greatclaw;No;Yes;Colossal Weapons;;;;;;;Watchful Spirit;1;;;;;;;;;;;;
;Watchdog's Staff;No;Yes;Colossal Weapons;;;;;;;Divine Bird Feathers;1;;;;;;;;;;;;
;Staff of the Avatar;No;Yes;Colossal Weapons;;;;;;;Divine Beast Tornado;1;;;;;;;;;;;;
;Rotten Staff;No;Yes;Colossal Weapons;;;;;;;Roar of Rugalea;1;;;;;;;;;;;;
;Envoy's Greathorn;No;Yes;Colossal Weapons;;;;;;Two Fingers;Urgent Heal;1;;;;;;;;;;;;
;Ghiza's Wheel;No;Yes;Colossal Weapons;;;;;;;Heal;1;;;;;;;;;;;;
;Fallingstar Beast Jaw;No;Yes;Colossal Weapons;;;;;;;Great Heal;1;;;;;;;;;;;;
;Axe of Godfrey;No;Yes;Colossal Weapons;;;;;;;Lord's Heal;1;;;;;;;;;;;;
;Bloodfiend's Arm;No;Yes;Colossal Weapons;;;;;;;Cure Poison;1;;;;;;;;;;;;
;Anvil Hammer;No;Yes;Colossal Weapons;;;;;;;Lord's Aid;1;;;;;;;;;;;;
;Devonia's Hammer;No;Yes;Colossal Weapons;;;;;;;Magic Fortification;1;;;;;;;;;;;;
;Shadow Sunflower Blossom;No;Yes;Colossal Weapons;;;;;;;Flame Fortification;1;;;;;;;;;;;;
;Gazing Finger;No;Yes;Colossal Weapons;;;;;;;Lightning Fortification;1;;;;;;;;;;;;
Spears;Spear;No;Yes;Spears;;;;;;;Divine Fortification;1;;;;;;;;;;;;
;Partisan;No;Yes;Spears;;;;;;;Lord's Divine Fortification;1;;;;;;;;;;;;
;Spiked Spear;No;Yes;Spears;;;;;;;Rejection;1;;;;;;;;;;;;
;Cross-Naginata;Yes;No;Spears;;;;;;;Shadow Bait;1;;;;;;;;;;;;
;Clayman's Harpoon;No;Yes;Spears;;;;;;;Darkness;1;;;;;;;;;;;;
;Inquisitor's Girandole;No;Yes;Spears;;;;;;;Assassin's Appraoch;1;;;;;;;;;;;;
;Crystal Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Rotten Crystal Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Cleanrot Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Death Ritual Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Bolt of Gransax;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Smithscript Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Swift Spear;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
;Bloodfiend's Fork;No;Yes;Spears;;;;;;;;;;;;;;;;;;;;
Great Spears;Lance;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Treespear;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Siluria's Tree;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Vyke's War Spear;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Mohgwyn's Sacred Spear;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Messmer Soldier's Spear;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Spear of the Impaler;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
;Barbed Staff-Spear;No;Yes;Great Spears;;;;;;;;;;;;;;;;;;;;
Halberds;Halberd;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Banished Knight's Halberd;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Lucerne;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Glaive;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Vulgar Militia Saw;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Guardian's Swordspear;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Nightrider Glaive;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Ripple Crescent Halberd;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Golden Halberd;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Dragon Halberd;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
;Loretta's War Sickle;No;Yes;Halberds;;;;;;;;;;;;;;;;;;;;
