Type;Class;name;Bonus;;;;;
Armor Sets;Sets;Leyndell Knight;;;;;;
Armor Sets;Sets;Leyndell Soldier;;;;;;
Armor Sets;Sets;Lionel;;;;;;
Armor Sets;Sets;Lusat;Glintstone;;;;;
Armor Sets;Sets;Malenia;;;;;;
Armor Sets;Sets;Malformed Dragon;;;;;;
Armor Sets;Sets;Maliketh;;;;;;
Armor Sets;Sets;Marionette Soldier;;;;;;
Armor Sets;Sets;Mausoleum Foot Soldier;;;;;;
Armor Sets;Sets;Mausoleum Knight;;;;;;
Armor Sets;Sets;Mausoleum Soldier;;;;;;
Armor Sets;Sets;Mushroom;Servants of Rot;;;;;
Armor Sets;Sets;Night Maiden;;;;;;
Armor Sets;Sets;Night's Cavalry;;;;;;
Armor Sets;Sets;Noble;;;;;;
Armor Sets;Sets;Nomadic Merchant;;;;;;
Armor Sets;Sets;Nox Monk;;;;;;
Armor Sets;Sets;Nox Swodstress;;;;;;
Armor Sets;Sets;Old Aristocrat;;;;;;
Armor Sets;Sets;Omen;;;;;;
Armor Sets;Sets;Omenkiller;;;;;;
Armor Sets;Sets;Page;;;;;;
Armor Sets;Sets;Perfumer;;;;;;
Armor Sets;Sets;Perfumer Traveler;;;;;;
Armor Sets;Sets;Preceptor;;;;;;
Armor Sets;Sets;Prisoner;;;;;;
Armor Sets;Sets;Prophet;;;;;;
Armor Sets;Sets;Queen of the Full Moon;;;;;;
Armor Sets;Sets;Radahn Foot Soldier;;;;;;
Armor Sets;Sets;Radahn Soldier;;;;;;
Armor Sets;Sets;Raging Wolf;;;;;;
Armor Sets;Sets;Raptor;;;;;;
Armor Sets;Sets;Raya Lucarian Foot Soldier;;;;;;
Armor Sets;Sets;Raya Lucarian Soldier;;;;;;
Armor Sets;Sets;Raya Lucarian Sorcerer;;;;;;
Armor Sets;Sets;Redmane Knight;;;;;;
Armor Sets;Sets;Ronin;;;;;;
Armor Sets;Sets;Rotten Duelist;;;;;;
Armor Sets;Sets;Royal Knight;;;;;;
Armor Sets;Sets;Royal Remains;;;;;;
Armor Sets;Sets;Ruler;;;;;;
Armor Sets;Sets;Sage;;;;;;
Armor Sets;Sets;Sanguine Noble;;;;;;
Armor Sets;Sets;Scaled;;;;;;
Armor Sets;Sets;Shaman;;;;;;
Armor Sets;Sets;Snow Witch;Cold;;;;;
Armor Sets;Sets;Spellblade;;;;;;
Armor Sets;Sets;Traveler;;;;;;
Armor Sets;Sets;Traveling Maiden;;;;;;
Armor Sets;Sets;Tree Sentinel;;;;;;
Armor Sets;Sets;Twinned;;;;;;
Armor Sets;Sets;Vagabond Knight;;;;;;
Armor Sets;Sets;Veteran;;;;;;
Armor Sets;Sets;Vulgar Militia;;;;;;
Armor Sets;Sets;War Surgeon;Blood;;;;;
Armor Sets;Sets;White Reed;;;;;;
Armor Sets;Sets;Zamor;;;;;;
Armor Sets;Sets;Ansbach;;;;;;
Armor Sets;Sets;Ascetic;;;;;;
Armor Sets;Sets;Black Knight;;;;;;
Armor Sets;Sets;Common Soldier;;;;;;
Armor Sets;Sets;Dancer;;;;;;
Armor Sets;Sets;Dane;;;;;;
Armor Sets;Sets;Death Knight;Dragon Cult;;;;;
Armor Sets;Sets;Divine Beast;Spiral;;;;;
Armor Sets;Sets;Divine Bird;Spiral;;;;;
Armor Sets;Sets;Fire Knight;Messmer's Flame;;;;;
Armor Sets;Sets;Freyja;;;;;;
Armor Sets;Sets;Gaius;;;;;;
Armor Sets;Sets;Gravebird;Death;;;;;
Armor Sets;Sets;High Priest;Finger;;;;;
Armor Sets;Sets;Horned Warrior;;;;;;
Armor Sets;Sets;Hornsent;;;;;;
Armor Sets;Sets;Igon;;;;;;
Armor Sets;Sets;Iron Rivet;;;;;;
Armor Sets;Sets;Highland Warrior;;;;;;
Armor Sets;Sets;Messmer Soldier;;;;;;
Armor Sets;Sets;Messmer;Messmer's Flame;;;;;
Armor Sets;Sets;Night;;;;;;
Armor Sets;Sets;Oathkeeper Knight;;;;;;
Armor Sets;Sets;Rakshasa;;;;;;
Armor Sets;Sets;Rellana;;;;;;
Armor Sets;Sets;Shadow Militiaman;;;;;;
Armor Sets;Sets;Solitude;;;;;;
Armor Sets;Sets;Thiollier;;;;;;
Armor Sets;Sets;Verdigris;;;;;;
Armor Sets;Sets;Young Lion;;;;;;
Armor Sets;Sets;Rock Heart;Dragon Communion;;;;;
Armor Sets;Sets;Priestess Heart;Dragon Cult;;;;;
Armor Sets;Sets;Lamenter's Mask;;;;;;
Armor Pieces;Helms;Pelt of Ralva;Spiral;;;;;
Armor Pieces;Helms;Death Mask Helm;;;;;;
Armor Pieces;Helms;Winged Serpent Helm;;;;;;
Armor Pieces;Helms;Salza's Hood;;;;;;
Armor Pieces;Helms;Leather Crown;;;;;;
Armor Pieces;Helms;Circlet of Light;Miquellan;;;;;
Armor Pieces;Helms;Divine Beast Head;;;;;;
Armor Pieces;Helms;St.Trina's Blossom;;;;;;
Armor Pieces;Helms;Crucible Hammer-Helm;Erdtree;;;;;
Armor Pieces;Helms;Greatjar;;;;;;
Armor Pieces;Helms;Imp Head (Lion);;;;;;
Armor Pieces;Helms;Aristocrat Hat;;;;;;
Armor Pieces;Helms;Ash-of-War Scarab;;;;;;
Armor Pieces;Helms;Black Dumpling;Frenzied Flame;;;;;
Armor Pieces;Helms;Blackguard's Iron Mask;;;;;;
Armor Pieces;Helms;Cerulean Tear Scarab;;;;;;
Armor Pieces;Helms;Navy Hood;;;;;;
Armor Pieces;Helms;Crimson Tear Scarab;;;;;;
Armor Pieces;Helms;Diallo's Mask;;;;;;
Armor Pieces;Helms;Envoy Crown;;;;;;
Armor Pieces;Helms;Glintstone Scarab;;;;;;
Armor Pieces;Helms;Greathelm;;;;;;
Armor Pieces;Helms;Greathood;;;;;;
Armor Pieces;Helms;Iji's Mirrorhelm;;;;;;
Armor Pieces;Helms;Imp Head (Cat);;;;;;
Armor Pieces;Helms;Imp Head (Corpse);;;;;;
Armor Pieces;Helms;Imp Head (Elder);;;;;;
Armor Pieces;Helms;Imp Head (Fanged);;;;;;
Armor Pieces;Helms;Imp Head (Long-Tongued);;;;;;
Armor Pieces;Helms;Imp Head (Wolf);;;;;;
Armor Pieces;Helms;Incantation Scarab;;;;;;
Armor Pieces;Helms;Jar;;;;;;
Armor Pieces;Helms;Karolos Glintstone Crown;;;;;;
Armor Pieces;Helms;Twinsage Glintstone Crown;;;;;;
Armor Pieces;Helms;Olivinus Glintstone Crown;;;;;;
Armor Pieces;Helms;Marionette Soldier Birdhelm;;;;;;
Armor Pieces;Helms;Mask of Confidence;;;;;;
Armor Pieces;Helms;Mushroom Head;;;;;;
Armor Pieces;Helms;Nox Mirrorhelm;;;;;;
Armor Pieces;Helms;Octopus Head;;;;;;
Armor Pieces;Helms;Pumpkin Helm;;;;;;
Armor Pieces;Helms;Silver Tear Mask;;;;;;
Armor Pieces;Chests Armor;Leda's Armor;;;;;;
Armor Pieces;Chests Armor;High Priest Robe;;;;;;
Armor Pieces;Chests Armor;Highland Attire;;;;;;
Armor Pieces;Chests Armor;Aristocrat Coat;;;;;;
Armor Pieces;Chests Armor;Deathbed Dress;;;;;;
Armor Pieces;Chests Armor;Fell Omen Cloak;;;;;;
Armor Pieces;Chests Armor;Lord of Blood's Robe;;;;;;
Armor Pieces;Chests Armor;Upper-Class Robe;;;;;;
Armor Pieces;Chests Armor;Corhyn's Robe;;;;;;
Armor Pieces;Chests Armor;Guardian Garb;;;;;;
Armor Pieces;Chests Armor;Tree Surcoat;;;;;;
Armor Pieces;Chests Armor;Eye Surcoat;;;;;;
Armor Pieces;Chests Armor;Commoner's Simple Garb;;;;;;
